"RLABO","SHIPC","CRUIS","STNNO","LATIT","LONGI","POSYS","STATN","SDATE","STIME","WADEP","SMPNO","FINFL","SMVOL","MNDEP","MXDEP","SPECI","TRPHY","STAGE","PARAM","MUNIT","VFLAG","ALABO","METOA","METFP","SLABO","SMTYP","MPROG","PURPM","MYEAR","DTYPE","RLIST","SIZCL","SIZRF","SFLAG","VALUE"
"BAMN","AA31","1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee","19980518",00:00:00,,"5198762",,,2,5,1101,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,11.534025375
"BAMN","AA31","1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee","19980518",00:00:00,,"5198762",,,2,5,1135,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,11.534025375
"BAMN","AA31","1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee","19980518",00:00:00,,"5198762",,,2,5,1267,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,4.61361015
"BAMN","AA31","1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee","19980518",00:00:00,,"5198762",,,2,5,10194,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,16.147635524
"BAMN","AA31","1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee","19980518",00:00:00,,"5198762",,,2,5,103407,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,991.926182238
"BAMN","AA31","1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee","19980518",00:00:00,,"5198762",,,2,5,104251,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,945.790080738
"BAMN","AA31","1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee","19980518",00:00:00,,"5198762",,,2,5,104466,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,11.534025375
"BAMN","AA31","1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee","19980518",00:00:00,,"5198762",,,2,5,104496,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,565.167243368
"BAMN","AA31","1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee","19980518",00:00:00,,"5198762",,,2,5,104515,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,288.350634371
"BAMN","AA31","1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee","19980518",00:00:00,,"5198762",,,2,5,104685,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,23.06805075
"BAMN","AA31","1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee","19980518",00:00:00,,"5198762",,,2,5,104878,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,6286.043829296
"BAMN","AA31","1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee","19980518",00:00:00,,"5198762",,,2,5,106386,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,42.675893887
"BAMN","AA31","1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee","19980518",00:00:00,,"5198762",,,2,5,106673,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,10.380622837
"BAMN","AA31","1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee","19980518",00:00:00,,"5198762",,,2,5,106674,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,1.153402537
"BAMN","AA31","1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee","19980518",00:00:00,,"5198762",,,2,5,116162,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,23.06805075
"BAMN","AA31","1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee","19980518",00:00:00,,"5198762",,,2,5,117368,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,11.534025375
"BAMN","AA31","1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee","19980518",00:00:00,,"5198762",,,2,5,123200,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,899.653979239
"BAMN","AA31","1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee","19980518",00:00:00,,"5198762",,,2,5,131495,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,34.602076125
"BAMN","AA31","1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee","19980518",00:00:00,,"5198762",,,2,5,1434803,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,3.460207612
"BAMN","AA31","1998","5198768",2.15003,51.02219,,"GRAV - Canal Amenee","19980602",00:00:00,,"5198768",,,2,5,101,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,59.970014993
"BAMN","AA31","1998","5198768",2.15003,51.02219,,"GRAV - Canal Amenee","19980602",00:00:00,,"5198768",,,2,5,913,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,404.797601199
"BAMN","AA31","1998","5198768",2.15003,51.02219,,"GRAV - Canal Amenee","19980602",00:00:00,,"5198768",,,2,5,1082,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,119.940029985
"BAMN","AA31","1998","5198768",2.15003,51.02219,,"GRAV - Canal Amenee","19980602",00:00:00,,"5198768",,,2,5,1101,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,44.977511244
"BAMN","AA31","1998","5198768",2.15003,51.02219,,"GRAV - Canal Amenee","19980602",00:00:00,,"5198768",,,2,5,1102,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,2.99850075
"BAMN","AA31","1998","5198768",2.15003,51.02219,,"GRAV - Canal Amenee","19980602",00:00:00,,"5198768",,,2,5,1135,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,5.997001499
"BAMN","AA31","1998","5198768",2.15003,51.02219,,"GRAV - Canal Amenee","19980602",00:00:00,,"5198768",,,2,5,1137,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,4.497751124
